seller_id,Orders_Count,Average_Score,Review_Count
0xBA89796DB68DB180BD389DE96B2FF3B6,2,5.000000,2
0x6F835FD4BE26989B1B064399DA346143,2,5.000000,2
0x5587130F9850696ED7FAFBC91C2CEE44,2,5.000000,2
0x4BDE6149C15CF7E177B36FA060DD6DE8,2,5.000000,2
0xF3975E8A41157005D4BCBB358678CD9B,2,5.000000,2
0x528CE32F560EDD11ADD4169F6A5B65BE,2,5.000000,2
0x48B6C3F4C6A93171DA04B75313F2130F,2,5.000000,2
0x70F7E8018E3D46C748C92F026AA2585A,2,5.000000,2
0x40EC8AB6CDAFBCC4F544DA38C67DA39A,2,5.000000,2
0x05AEBCE0B5C8F0D41B29B686F2D05FD3,2,5.000000,2
0xA11A0E0CA67423425691DB355CFF69B0,2,5.000000,2
0xB5BB2B985208834BD5BD86C7A402BBAD,2,5.000000,2
0x0DAF5180AA44356F60F8EFFA533B55A2,2,5.000000,2
0xB9EC22DE23F18567DE0E09D776CA0309,2,5.000000,2
0x910A922B426B7FF95EAEE129AD6C0E1F,2,5.000000,2
0x5D505D2298AD549E4E4E835562FA0C1E,2,5.000000,2
0xA45314082D50D578A4721C9787CE09AB,2,5.000000,2
0x8C351ED7C326C62123318F4F3246E906,2,5.000000,2
0x1D0646A72178A6FB37EE8082140E06EC,2,5.000000,2
0x160851D3ECE7AA1A510F8D1A4BB8A8AF,2,5.000000,2
0x7AD41305E96A6CAB8294CD65891E9A86,2,5.000000,2
0xA3FA18B3F688EC0FCA3EB8BFCBD2D5B3,2,5.000000,2
0xC353F8FC0CE8344999F17D578EB69A5E,2,5.000000,2
0x062C325CD6A2B87845FAB56B4EC2EEAE,2,5.000000,2
0x0A82F5FB06A4FE4AC2CF7CB412EC71B8,2,5.000000,2
0xAE45AD30C2D2E5913094769690A239D2,2,5.000000,2
0x8A1FF5C35F6595A73FEF4C7B96E4908A,2,5.000000,2
0x90B57083DA5D803237DA74DAEC6DCB2B,2,5.000000,2
0x1B0B0F4F95E962D6F32FE90C759D0479,2,5.000000,2
