customer_unique_id,Frequency
0x320E13A9E22B4E4CDA8C17ED1C140CE0,3
0x5BDB6F56A8FB4272B802F504BB6D1287,3
0x7849336C1B7785F258FFEF06AEDBD216,3
0x9AAE8213FF9BC04CC3CE48B85F43A173,3
0xB64EBAF3D11B7209FE566364CC359A51,3
0x9689908CAF4DE73724FEED92175D867A,3
0x30A81E307F19E822E7199139FE52B1B0,3
0xD75ACD4C5B7B4DFD32B9D9172B195419,3
0x565448508B44312E8489CA1BC1F5D09E,3
0x7E1681F9BB31800364869A2CDBE289DB,3
0xE2492E4188991B6276A4A62A287A5451,3
0xBF6656EF50E6FD00E7517B01D615B4F3,3
0xBA87A137C5191264841E0BE40E53F4ED,3
0x25F3CF83109F636D52D288FA4E797111,3
0x593CB774409E5239A1946D1C88E0813D,3
0xABFE742E782FB10F5C824FCB849E5CD1,3
0x3EA4185126195C34ED9949D8E406D570,3
0xC25D2FB6D22E04CE43C3652E3CACADAD,3
0x615922C430ABDDD368735199C38E735D,3
0x6A80A86F478A93A5F4C7BA8DB6441A6B,3
0x6EEFA309FAAB7725BF4B9DCE147E4AE6,3
0xE226254CE0C6D5B7A7EF7218C9B5B518,3
0x9832AE2F7D3E5FA4C7A1A06E9551BC61,3
0x6419A1BE8FEAC26EC793667B71CBAEB4,3
0x66980C3775537536F77B434D74E520F5,3
0xC9B3B24308B1A4587FFA3E60FAFC2B1F,3
0xF4D1502ACE38B0DF6F052A5544ADD9F4,3
0x6222EF69DF52B4ED71BE551725551CC0,3
0xC0118E2C0A037C31AECA71D0B81F66A1,3
0xF8BC1D81F395F6239A2A5AB1B9EDF1AB,3
0x0A609DB8D244100909A15D65EADF8539,3
0xA40096FC0A3862E9E12BC55B5F8E6AB2,3
0x34B0CD95480E55C2A701293A2B9671B3,3
0x6F64406ED5CFA4A2D9BD35E91BFD6587,3
0x4E1CCE07CD5937C69DACAC3C8B13D965,3
0xCEF29E793E232D30250331804CDB7000,3
0x455C17B35969CA198C17F2FC9E8EBA1B,3
0x33176DE67C05EEED870FD49F234387A0,3
0x8DAFB82F687E3B0DC9E97B4198B92128,3
0xE12F7F1E96F1F9F6361572028A1FAD5A,3
0x8961B4CA2C5ACEB7A78EA72C6E0C840A,3
0x98E3117841A2431959D17808F04BF23C,3
0x76A0491DD70C125840FA259F00DFC351,3
0x69F2934AD8B50CC05587A94CC7D68FC9,3
0xC2919FBDB45366551C1E80D5CB35CD3F,3
0x78B5CBC4B9AD61445B6609593ADDCA37,3
0x6204C4E582A95B6A350ADF6988623BFB,3
0x1C628081CB579ED6035B9AA8614E69F4,3
0xDC48B0A1B0E6ABB6586F322C189F6B93,3
0xA3DC27D87234F862D7E61A0148C77FA9,3
0x5B09C620DB60411B0BE6F1817C6CBE71,3
0x8689B3E15D4B16CFD05ECF597A523453,3
0xACAF5177D6DE60FDA7CE77C48ABB5230,3
0xAF5454198A97379394CACF676E1E96CB,3
0xD6DF1C8CB71C59D9B52D828DC6D0F5B3,3
0x8FFA5E9FCC3DA23113128E94D1C75706,3
0xA3021C629BD1D99347A8E75A9AB035D8,3
0x5F45AA4EF9B8FB99B95D33A970BB64A7,3
0x8C21DD8C37144807C601F99F2A209DFB,3
0xC6DF3869C263531EBD51F0454A353605,3
0xAE74C314B9C383E5D7BCD99D54FFBC71,3
0xBA77E9B6506636DCBD03E463D4786F24,3
0xB7B162291ADFF744D6F3C6450557FFEE,3
0xE0C99FFDCD8891130985AC90CD2D8EEC,3
0x42BEFDA568EA0DF110B6CEC63C233BEA,3
0x31D332D20895C5C0BAEFE55207A0FEAD,3
0xBD86B1862FE796149A4D2AF57BD85451,3
0x51838D41ADD414A0B1B989B7D251D9EE,3
0xCC14EA7099959D91A17C9D7C3A46721D,3
0xCFA69922F9968E0E6271647ABDA09B09,3
0xE68E1B61896163CDD7F8E07B2AE814C9,3
0xD3882D7ABD0C66064D740D7ED04DD1EF,3
0x32EA3BDEDAB835C3AA6CB68CE66565EF,3
0x06A52782A04F0086D16B9C22D0E29438,3
0x9947C0ED8BF41CD508A78DA36ABC1D41,3
0xCA994ABC57B0BD7981D91D0061B3D8D6,3
0x66E56177B9BF464A930E57EDC3694403,3
0x23339103D82A054F9729B0554CE22E8C,3
0xCD11A0920C498EDB1DA9ECD2D31AA599,3
0x935B9C5A3162185F88DAC06D8D08D623,3
0xB3A6549B3CD47A7117094FAAFCE8B10D,3
0xF50CA6544A0ED8A52CC964E15CBE9CF9,3
0x549A24530925587E2FADDB35F667E458,3
0xAE20947231D4D44DDE1680A7AB14D90A,3
0x297EC5AFD18366F5BA27520CC4954151,3
0xE4B98EEBB8983CADE8610C0DEF59F705,3
0x0A61B571F594B6919601BCF3380DA7F7,3
0x310647380793836BFA5B7B6B3F518423,3
0x8CD6F80D3C3994E2060D46EC07FF0B0A,3
0xE9B87DCCD9C326A3325385087EB0150C,3
0xC76762DFB642AC154475239639F7F8F4,3
0xFF36BE26206FFFE1EB37AFD54C70E18B,3
0x803C530613F5C4EE03502BE0D6894DE0,3
0xD387EA85DC301A91740E31360D355686,3
0x9077449283DC1319D5E51FB3159B28E2,3
0xA66315C850C3712707754C1ECA7A8069,3
0x18A65D67BB184E736656CC017F09F7B8,3
0x182053495BC94C2F41090CE8C41BE266,3
0xE1224167B1A3F92781C2FF55B0B794BE,3
